plan_code,plan_name,planned_on,starts_on,ends_on,status,notes
plan_2026_0149,Kế hoạch sản xuất tuần 149,2026-04-21,2026-05-05,2026-05-11,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0150,Kế hoạch sản xuất tuần 150,2026-05-25,2026-06-08,2026-06-14,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0151,Kế hoạch sản xuất tuần 151,2026-06-27,2026-07-11,2026-07-17,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0152,Kế hoạch sản xuất tuần 152,2026-07-31,2026-08-14,2026-08-20,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0153,Kế hoạch sản xuất tuần 153,2026-09-03,2026-09-17,2026-09-23,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0154,Kế hoạch sản xuất tuần 154,2026-01-06,2026-01-20,2026-01-26,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0155,Kế hoạch sản xuất tuần 155,2026-01-20,2026-02-03,2026-02-09,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0156,Kế hoạch sản xuất tuần 156,2026-02-20,2026-03-06,2026-03-12,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0157,Kế hoạch sản xuất tuần 157,2026-03-26,2026-04-09,2026-04-15,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0158,Kế hoạch sản xuất tuần 158,2026-04-28,2026-05-12,2026-05-18,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0159,Kế hoạch sản xuất tuần 159,2026-06-01,2026-06-15,2026-06-21,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0160,Kế hoạch sản xuất tuần 160,2026-07-04,2026-07-18,2026-07-24,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0161,Kế hoạch sản xuất tuần 161,2026-07-18,2026-08-01,2026-08-07,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0162,Kế hoạch sản xuất tuần 162,2026-08-21,2026-09-04,2026-09-10,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0163,Kế hoạch sản xuất tuần 163,2025-12-24,2026-01-07,2026-01-13,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0164,Kế hoạch sản xuất tuần 164,2026-01-27,2026-02-10,2026-02-16,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0165,Kế hoạch sản xuất tuần 165,2026-02-27,2026-03-13,2026-03-19,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0166,Kế hoạch sản xuất tuần 166,2026-04-02,2026-04-16,2026-04-22,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0167,Kế hoạch sản xuất tuần 167,2026-05-05,2026-05-19,2026-05-25,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0168,Kế hoạch sản xuất tuần 168,2026-05-19,2026-06-02,2026-06-08,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0169,Kế hoạch sản xuất tuần 169,2026-06-21,2026-07-05,2026-07-11,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0170,Kế hoạch sản xuất tuần 170,2026-07-25,2026-08-08,2026-08-14,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0171,Kế hoạch sản xuất tuần 171,2026-08-28,2026-09-11,2026-09-17,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0172,Kế hoạch sản xuất tuần 172,2025-12-31,2026-01-14,2026-01-20,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0173,Kế hoạch sản xuất tuần 173,2026-02-03,2026-02-17,2026-02-23,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0174,Kế hoạch sản xuất tuần 174,2026-03-06,2026-03-20,2026-03-26,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0175,Kế hoạch sản xuất tuần 175,2026-03-20,2026-04-03,2026-04-09,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0176,Kế hoạch sản xuất tuần 176,2026-04-22,2026-05-06,2026-05-12,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0177,Kế hoạch sản xuất tuần 177,2026-05-26,2026-06-09,2026-06-15,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0178,Kế hoạch sản xuất tuần 178,2026-06-28,2026-07-12,2026-07-18,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0179,Kế hoạch sản xuất tuần 179,2026-08-01,2026-08-15,2026-08-21,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0180,Kế hoạch sản xuất tuần 180,2026-09-04,2026-09-18,2026-09-24,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0181,Kế hoạch sản xuất tuần 181,2025-12-18,2026-01-01,2026-01-07,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0182,Kế hoạch sản xuất tuần 182,2026-01-21,2026-02-04,2026-02-10,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0183,Kế hoạch sản xuất tuần 183,2026-02-21,2026-03-07,2026-03-13,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0184,Kế hoạch sản xuất tuần 184,2026-03-27,2026-04-10,2026-04-16,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0185,Kế hoạch sản xuất tuần 185,2026-04-29,2026-05-13,2026-05-19,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0186,Kế hoạch sản xuất tuần 186,2026-06-02,2026-06-16,2026-06-22,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0187,Kế hoạch sản xuất tuần 187,2026-07-05,2026-07-19,2026-07-25,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0188,Kế hoạch sản xuất tuần 188,2026-07-19,2026-08-02,2026-08-08,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0189,Kế hoạch sản xuất tuần 189,2026-08-22,2026-09-05,2026-09-11,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0190,Kế hoạch sản xuất tuần 190,2025-12-25,2026-01-08,2026-01-14,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0191,Kế hoạch sản xuất tuần 191,2026-01-28,2026-02-11,2026-02-17,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0192,Kế hoạch sản xuất tuần 192,2026-02-28,2026-03-14,2026-03-20,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0193,Kế hoạch sản xuất tuần 193,2026-04-03,2026-04-17,2026-04-23,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0194,Kế hoạch sản xuất tuần 194,2026-05-06,2026-05-20,2026-05-26,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0195,Kế hoạch sản xuất tuần 195,2026-05-20,2026-06-03,2026-06-09,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0196,Kế hoạch sản xuất tuần 196,2026-06-22,2026-07-06,2026-07-12,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0197,Kế hoạch sản xuất tuần 197,2026-07-26,2026-08-09,2026-08-15,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0198,Kế hoạch sản xuất tuần 198,2026-08-29,2026-09-12,2026-09-18,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0199,Kế hoạch sản xuất tuần 199,2026-01-01,2026-01-15,2026-01-21,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0200,Kế hoạch sản xuất tuần 200,2026-02-04,2026-02-18,2026-02-24,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0201,Kế hoạch sản xuất tuần 201,2026-02-15,2026-03-01,2026-03-07,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0202,Kế hoạch sản xuất tuần 202,2026-03-21,2026-04-04,2026-04-10,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0203,Kế hoạch sản xuất tuần 203,2026-04-23,2026-05-07,2026-05-13,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0204,Kế hoạch sản xuất tuần 204,2026-05-27,2026-06-10,2026-06-16,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0205,Kế hoạch sản xuất tuần 205,2026-06-29,2026-07-13,2026-07-19,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0206,Kế hoạch sản xuất tuần 206,2026-08-02,2026-08-16,2026-08-22,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0207,Kế hoạch sản xuất tuần 207,2026-09-05,2026-09-19,2026-09-25,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0208,Kế hoạch sản xuất tuần 208,2025-12-19,2026-01-02,2026-01-08,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0209,Kế hoạch sản xuất tuần 209,2026-01-22,2026-02-05,2026-02-11,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0210,Kế hoạch sản xuất tuần 210,2026-02-22,2026-03-08,2026-03-14,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0211,Kế hoạch sản xuất tuần 211,2026-03-28,2026-04-11,2026-04-17,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0212,Kế hoạch sản xuất tuần 212,2026-04-30,2026-05-14,2026-05-20,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0213,Kế hoạch sản xuất tuần 213,2026-06-03,2026-06-17,2026-06-23,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0214,Kế hoạch sản xuất tuần 214,2026-07-06,2026-07-20,2026-07-26,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0215,Kế hoạch sản xuất tuần 215,2026-07-20,2026-08-03,2026-08-09,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0216,Kế hoạch sản xuất tuần 216,2026-08-23,2026-09-06,2026-09-12,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0217,Kế hoạch sản xuất tuần 217,2025-12-26,2026-01-09,2026-01-15,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0218,Kế hoạch sản xuất tuần 218,2026-01-29,2026-02-12,2026-02-18,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0219,Kế hoạch sản xuất tuần 219,2026-03-01,2026-03-15,2026-03-21,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0220,Kế hoạch sản xuất tuần 220,2026-04-04,2026-04-18,2026-04-24,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0221,Kế hoạch sản xuất tuần 221,2026-04-17,2026-05-01,2026-05-07,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0222,Kế hoạch sản xuất tuần 222,2026-05-21,2026-06-04,2026-06-10,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0223,Kế hoạch sản xuất tuần 223,2026-06-23,2026-07-07,2026-07-13,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0224,Kế hoạch sản xuất tuần 224,2026-07-27,2026-08-10,2026-08-16,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0225,Kế hoạch sản xuất tuần 225,2026-08-30,2026-09-13,2026-09-19,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0226,Kế hoạch sản xuất tuần 226,2026-01-02,2026-01-16,2026-01-22,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0227,Kế hoạch sản xuất tuần 227,2026-02-05,2026-02-19,2026-02-25,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0228,Kế hoạch sản xuất tuần 228,2026-02-16,2026-03-02,2026-03-08,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0229,Kế hoạch sản xuất tuần 229,2026-03-22,2026-04-05,2026-04-11,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0230,Kế hoạch sản xuất tuần 230,2026-04-24,2026-05-08,2026-05-14,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0231,Kế hoạch sản xuất tuần 231,2026-05-28,2026-06-11,2026-06-17,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0232,Kế hoạch sản xuất tuần 232,2026-06-30,2026-07-14,2026-07-20,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0233,Kế hoạch sản xuất tuần 233,2026-08-03,2026-08-17,2026-08-23,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0234,Kế hoạch sản xuất tuần 234,2026-09-06,2026-09-20,2026-09-26,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0235,Kế hoạch sản xuất tuần 235,2025-12-20,2026-01-03,2026-01-09,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0236,Kế hoạch sản xuất tuần 236,2026-01-23,2026-02-06,2026-02-12,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0237,Kế hoạch sản xuất tuần 237,2026-02-23,2026-03-09,2026-03-15,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0238,Kế hoạch sản xuất tuần 238,2026-03-29,2026-04-12,2026-04-18,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0239,Kế hoạch sản xuất tuần 239,2026-05-01,2026-05-15,2026-05-21,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0240,Kế hoạch sản xuất tuần 240,2026-06-04,2026-06-18,2026-06-24,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0241,Kế hoạch sản xuất tuần 241,2026-06-17,2026-07-01,2026-07-07,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0242,Kế hoạch sản xuất tuần 242,2026-07-21,2026-08-04,2026-08-10,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0243,Kế hoạch sản xuất tuần 243,2026-08-24,2026-09-07,2026-09-13,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0244,Kế hoạch sản xuất tuần 244,2025-12-27,2026-01-10,2026-01-16,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0245,Kế hoạch sản xuất tuần 245,2026-01-30,2026-02-13,2026-02-19,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0246,Kế hoạch sản xuất tuần 246,2026-03-02,2026-03-16,2026-03-22,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0247,Kế hoạch sản xuất tuần 247,2026-04-05,2026-04-19,2026-04-25,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0248,Kế hoạch sản xuất tuần 248,2026-04-18,2026-05-02,2026-05-08,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0249,Kế hoạch sản xuất tuần 249,2026-05-22,2026-06-05,2026-06-11,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0250,Kế hoạch sản xuất tuần 250,2026-06-24,2026-07-08,2026-07-14,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
