plan_code,line_number,item_code,unit_code,target_quantity,required_on,notes
plan_2026_0106,2,fg_0012,piece,33155,2026-07-22,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0107,1,fg_0013,piece,32366,2026-08-24,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0107,2,fg_0014,piece,33366,2026-08-25,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0108,1,fg_0015,piece,32577,2026-09-07,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0108,2,fg_0016,piece,33577,2026-09-08,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0109,1,fg_0017,piece,32788,2026-01-10,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0109,2,fg_0018,piece,33788,2026-01-11,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0110,1,fg_0019,piece,32999,2026-02-13,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0110,2,fg_0020,piece,33999,2026-02-14,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0111,1,fg_0021,piece,33210,2026-03-16,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0111,2,fg_0022,piece,34210,2026-03-17,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0112,1,fg_0023,piece,33421,2026-04-19,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0112,2,fg_0024,piece,34421,2026-04-20,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0113,1,fg_0025,piece,33632,2026-05-22,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0113,2,fg_0026,piece,34632,2026-05-23,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0114,1,fg_0027,piece,33843,2026-06-25,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0114,2,fg_0028,piece,34843,2026-06-26,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0115,1,fg_0029,piece,34054,2026-07-08,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0115,2,fg_0030,piece,35054,2026-07-09,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0116,1,fg_0031,piece,34265,2026-08-11,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0116,2,fg_0032,piece,35265,2026-08-12,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0117,1,fg_0033,piece,34476,2026-09-14,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0117,2,fg_0034,piece,35476,2026-09-15,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0118,1,fg_0035,piece,34687,2026-01-17,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0118,2,fg_0036,piece,35687,2026-01-18,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0119,1,fg_0037,piece,34898,2026-02-20,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0119,2,fg_0038,piece,35898,2026-02-21,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0120,1,fg_0039,piece,35109,2026-03-23,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0120,2,fg_0040,piece,36109,2026-03-24,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0121,1,fg_0041,piece,35320,2026-04-06,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0121,2,fg_0042,piece,36320,2026-04-07,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0122,1,fg_0043,piece,35531,2026-05-09,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0122,2,fg_0044,piece,36531,2026-05-10,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0123,1,fg_0045,piece,35742,2026-06-12,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0123,2,fg_0046,piece,36742,2026-06-13,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0124,1,fg_0047,piece,35953,2026-07-15,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0124,2,fg_0048,piece,36953,2026-07-16,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0125,1,fg_0049,piece,36164,2026-08-18,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0125,2,fg_0050,piece,37164,2026-08-19,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0126,1,fg_0051,piece,36375,2026-09-21,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0126,2,fg_0052,piece,37375,2026-09-22,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0127,1,fg_0053,piece,36586,2026-01-24,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0127,2,fg_0054,piece,37586,2026-01-25,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0128,1,fg_0055,piece,36797,2026-02-07,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0128,2,fg_0056,piece,37797,2026-02-08,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0129,1,fg_0057,piece,37008,2026-03-10,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0129,2,fg_0058,piece,38008,2026-03-11,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0130,1,fg_0059,piece,37219,2026-04-13,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0130,2,fg_0060,piece,38219,2026-04-14,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0131,1,fg_0061,piece,37430,2026-05-16,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0131,2,fg_0062,piece,38430,2026-05-17,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0132,1,fg_0063,piece,37641,2026-06-19,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0132,2,fg_0064,piece,38641,2026-06-20,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0133,1,fg_0065,piece,37852,2026-07-22,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0133,2,fg_0066,piece,38852,2026-07-23,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0134,1,fg_0067,piece,38063,2026-08-25,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0134,2,fg_0068,piece,39063,2026-08-26,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0135,1,fg_0069,piece,38274,2026-09-08,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0135,2,fg_0070,piece,39274,2026-09-09,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0136,1,fg_0071,piece,38485,2026-01-11,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0136,2,fg_0072,piece,39485,2026-01-12,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0137,1,fg_0073,piece,38696,2026-02-14,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0137,2,fg_0074,piece,39696,2026-02-15,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0138,1,fg_0075,piece,38907,2026-03-17,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0138,2,fg_0076,piece,39907,2026-03-18,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0139,1,fg_0077,piece,39118,2026-04-20,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0139,2,fg_0078,piece,10118,2026-04-21,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0140,1,fg_0079,piece,39329,2026-05-23,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0140,2,fg_0080,piece,10329,2026-05-24,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0141,1,fg_0081,piece,39540,2026-06-06,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0141,2,fg_0082,piece,10540,2026-06-07,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0142,1,fg_0083,piece,39751,2026-07-09,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0142,2,fg_0084,piece,10751,2026-07-10,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0143,1,fg_0085,piece,39962,2026-08-12,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0143,2,fg_0086,piece,10962,2026-08-13,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0144,1,fg_0087,piece,10173,2026-09-15,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0144,2,fg_0088,piece,11173,2026-09-16,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0145,1,fg_0089,piece,10384,2026-01-18,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0145,2,fg_0090,piece,11384,2026-01-19,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0146,1,fg_0091,piece,10595,2026-02-21,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0146,2,fg_0092,piece,11595,2026-02-22,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0147,1,fg_0093,piece,10806,2026-03-24,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0147,2,fg_0094,piece,11806,2026-03-25,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0148,1,fg_0095,piece,11017,2026-04-07,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0148,2,fg_0096,piece,12017,2026-04-08,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0149,1,fg_0097,piece,11228,2026-05-10,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0149,2,fg_0098,piece,12228,2026-05-11,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0150,1,fg_0099,piece,11439,2026-06-13,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0150,2,fg_0100,piece,12439,2026-06-14,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0151,1,fg_0101,piece,11650,2026-07-16,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0151,2,fg_0102,piece,12650,2026-07-17,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0152,1,fg_0103,piece,11861,2026-08-19,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0152,2,fg_0104,piece,12861,2026-08-20,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0153,1,fg_0105,piece,12072,2026-09-22,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0153,2,fg_0106,piece,13072,2026-09-23,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0154,1,fg_0107,piece,12283,2026-01-25,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0154,2,fg_0108,piece,13283,2026-01-26,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0155,1,fg_0109,piece,12494,2026-02-08,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0155,2,fg_0110,piece,13494,2026-02-09,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0156,1,fg_0111,piece,12705,2026-03-11,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0156,2,fg_0112,piece,13705,2026-03-12,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0157,1,fg_0113,piece,12916,2026-04-14,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0157,2,fg_0114,piece,13916,2026-04-15,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0158,1,fg_0115,piece,13127,2026-05-17,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0158,2,fg_0116,piece,14127,2026-05-18,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0159,1,fg_0117,piece,13338,2026-06-20,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0159,2,fg_0118,piece,14338,2026-06-21,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0160,1,fg_0119,piece,13549,2026-07-23,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0160,2,fg_0120,piece,14549,2026-07-24,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0161,1,fg_0121,piece,13760,2026-08-06,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0161,2,fg_0122,piece,14760,2026-08-07,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0162,1,fg_0123,piece,13971,2026-09-09,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0162,2,fg_0124,piece,14971,2026-09-10,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0163,1,fg_0125,piece,14182,2026-01-12,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0163,2,fg_0126,piece,15182,2026-01-13,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0164,1,fg_0127,piece,14393,2026-02-15,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0164,2,fg_0128,piece,15393,2026-02-16,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0165,1,fg_0129,piece,14604,2026-03-18,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0165,2,fg_0130,piece,15604,2026-03-19,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0166,1,fg_0131,piece,14815,2026-04-21,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0166,2,fg_0132,piece,15815,2026-04-22,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0167,1,fg_0133,piece,15026,2026-05-24,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0167,2,fg_0134,piece,16026,2026-05-25,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0168,1,fg_0135,piece,15237,2026-06-07,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0168,2,fg_0136,piece,16237,2026-06-08,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0169,1,fg_0137,piece,15448,2026-07-10,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0169,2,fg_0138,piece,16448,2026-07-11,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0170,1,fg_0139,piece,15659,2026-08-13,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0170,2,fg_0140,piece,16659,2026-08-14,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0171,1,fg_0141,piece,15870,2026-09-16,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0171,2,fg_0142,piece,16870,2026-09-17,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0172,1,fg_0143,piece,16081,2026-01-19,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0172,2,fg_0144,piece,17081,2026-01-20,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0173,1,fg_0145,piece,16292,2026-02-22,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0173,2,fg_0146,piece,17292,2026-02-23,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0174,1,fg_0147,piece,16503,2026-03-25,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0174,2,fg_0148,piece,17503,2026-03-26,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0175,1,fg_0149,piece,16714,2026-04-08,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0175,2,fg_0150,piece,17714,2026-04-09,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0176,1,fg_0151,piece,16925,2026-05-11,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0176,2,fg_0152,piece,17925,2026-05-12,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0177,1,fg_0153,piece,17136,2026-06-14,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0177,2,fg_0154,piece,18136,2026-06-15,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0178,1,fg_0155,piece,17347,2026-07-17,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0178,2,fg_0156,piece,18347,2026-07-18,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0179,1,fg_0157,piece,17558,2026-08-20,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0179,2,fg_0158,piece,18558,2026-08-21,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0180,1,fg_0159,piece,17769,2026-09-23,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0180,2,fg_0160,piece,18769,2026-09-24,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0181,1,fg_0161,piece,17980,2026-01-06,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0181,2,fg_0162,piece,18980,2026-01-07,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0182,1,fg_0163,piece,18191,2026-02-09,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0182,2,fg_0164,piece,19191,2026-02-10,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0183,1,fg_0165,piece,18402,2026-03-12,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0183,2,fg_0166,piece,19402,2026-03-13,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0184,1,fg_0167,piece,18613,2026-04-15,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0184,2,fg_0168,piece,19613,2026-04-16,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0185,1,fg_0169,piece,18824,2026-05-18,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0185,2,fg_0170,piece,19824,2026-05-19,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0186,1,fg_0171,piece,19035,2026-06-21,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0186,2,fg_0172,piece,20035,2026-06-22,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0187,1,fg_0173,piece,19246,2026-07-24,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0187,2,fg_0174,piece,20246,2026-07-25,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0188,1,fg_0175,piece,19457,2026-08-07,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0188,2,fg_0176,piece,20457,2026-08-08,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0189,1,fg_0177,piece,19668,2026-09-10,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0189,2,fg_0178,piece,20668,2026-09-11,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0190,1,fg_0179,piece,19879,2026-01-13,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0190,2,fg_0180,piece,20879,2026-01-14,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0191,1,fg_0181,piece,20090,2026-02-16,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0191,2,fg_0182,piece,21090,2026-02-17,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0192,1,fg_0183,piece,20301,2026-03-19,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0192,2,fg_0184,piece,21301,2026-03-20,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0193,1,fg_0185,piece,20512,2026-04-22,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0193,2,fg_0186,piece,21512,2026-04-23,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0194,1,fg_0187,piece,20723,2026-05-25,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0194,2,fg_0188,piece,21723,2026-05-26,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0195,1,fg_0189,piece,20934,2026-06-08,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0195,2,fg_0190,piece,21934,2026-06-09,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0196,1,fg_0191,piece,21145,2026-07-11,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0196,2,fg_0192,piece,22145,2026-07-12,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0197,1,fg_0193,piece,21356,2026-08-14,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0197,2,fg_0194,piece,22356,2026-08-15,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0198,1,fg_0195,piece,21567,2026-09-17,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0198,2,fg_0196,piece,22567,2026-09-18,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0199,1,fg_0197,piece,21778,2026-01-20,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0199,2,fg_0198,piece,22778,2026-01-21,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0200,1,fg_0199,piece,21989,2026-02-23,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0200,2,fg_0200,piece,22989,2026-02-24,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0201,1,fg_0001,piece,22200,2026-03-06,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0201,2,fg_0002,piece,23200,2026-03-07,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0202,1,fg_0003,piece,22411,2026-04-09,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0202,2,fg_0004,piece,23411,2026-04-10,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0203,1,fg_0005,piece,22622,2026-05-12,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0203,2,fg_0006,piece,23622,2026-05-13,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0204,1,fg_0007,piece,22833,2026-06-15,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0204,2,fg_0008,piece,23833,2026-06-16,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0205,1,fg_0009,piece,23044,2026-07-18,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0205,2,fg_0010,piece,24044,2026-07-19,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0206,1,fg_0011,piece,23255,2026-08-21,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0206,2,fg_0012,piece,24255,2026-08-22,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0207,1,fg_0013,piece,23466,2026-09-24,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0207,2,fg_0014,piece,24466,2026-09-25,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0208,1,fg_0015,piece,23677,2026-01-07,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0208,2,fg_0016,piece,24677,2026-01-08,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0209,1,fg_0017,piece,23888,2026-02-10,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0209,2,fg_0018,piece,24888,2026-02-11,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0210,1,fg_0019,piece,24099,2026-03-13,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0210,2,fg_0020,piece,25099,2026-03-14,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0211,1,fg_0021,piece,24310,2026-04-16,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0211,2,fg_0022,piece,25310,2026-04-17,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
