calculation_code,period_code,production_order_code,stock_item_code,stock_item_name,good_quantity,material_cost,direct_labor_cost,overhead_cost,adjustment_amount,total_cost,unit_cost,target_status,notes
fixture_calculation_2026_00084,fixture_cost_period_2026_12,production_order_2026_00084,fg_0084,Sữa trái cây Hero Hương Dưa Hấu - 400 ml,3183.000000,5442930.00,716175.00,636600.00,6366.00,6802071.00,2137.000000,cancelled,Mã kiểm tra fixture_calculation_2026_00084; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00085,fixture_cost_period_2026_01,production_order_2026_00085,fg_0085,Sữa trái cây Hero Hương Dưa Hấu - Thùng tiêu chuẩn,3284.000000,3940800.00,788160.00,459760.00,6568.00,5195288.00,1582.000000,calculated,Mã kiểm tra fixture_calculation_2026_00085; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00086,fixture_cost_period_2026_02,production_order_2026_00086,fg_0086,Sữa trái cây SuSu Thạch Hương Kẹo Bông - 110 ml,3385.000000,4349725.00,609300.00,541600.00,6770.00,5507395.00,1627.000000,approved,Mã kiểm tra fixture_calculation_2026_00086; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00087,fixture_cost_period_2026_03,production_order_2026_00087,fg_0087,Sữa trái cây SuSu Thạch Hương Kẹo Bông - 180 ml,3486.000000,4775820.00,679770.00,627480.00,6972.00,6090042.00,1747.000000,locked,Mã kiểm tra fixture_calculation_2026_00087; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00088,fixture_cost_period_2026_04,production_order_2026_00088,fg_0088,Sữa trái cây SuSu Thạch Hương Kẹo Bông - 220 ml,3587.000000,5219085.00,753270.00,717400.00,7174.00,6696929.00,1867.000000,cancelled,Mã kiểm tra fixture_calculation_2026_00088; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00089,fixture_cost_period_2026_05,production_order_2026_00089,fg_0089,Sữa trái cây SuSu Thạch Hương Kẹo Bông - 400 ml,3688.000000,5679520.00,829800.00,516320.00,7376.00,7033016.00,1907.000000,calculated,Mã kiểm tra fixture_calculation_2026_00089; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00090,fixture_cost_period_2026_06,production_order_2026_00090,fg_0090,Sữa trái cây SuSu Thạch Hương Kẹo Bông - Thùng tiêu chuẩn,3789.000000,6157125.00,909360.00,606240.00,7578.00,7680303.00,2027.000000,approved,Mã kiểm tra fixture_calculation_2026_00090; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00091,fixture_cost_period_2026_07,production_order_2026_00091,fg_0091,Sữa trái cây SuSu Thạch Hương Marshmallow Kiwi - 110 ml,3890.000000,6651900.00,700200.00,700200.00,-11670.00,8040630.00,2067.000000,locked,Mã kiểm tra fixture_calculation_2026_00091; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00092,fixture_cost_period_2026_08,production_order_2026_00092,fg_0092,Sữa trái cây SuSu Thạch Hương Marshmallow Kiwi - 180 ml,3991.000000,4789200.00,778245.00,798200.00,7982.00,6373627.00,1597.000000,cancelled,Mã kiểm tra fixture_calculation_2026_00092; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00093,fixture_cost_period_2026_09,production_order_2026_00093,fg_0093,Sữa trái cây SuSu Thạch Hương Marshmallow Kiwi - 220 ml,4092.000000,5258220.00,859320.00,572880.00,8184.00,6698604.00,1637.000000,calculated,Mã kiểm tra fixture_calculation_2026_00093; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00094,fixture_cost_period_2026_10,production_order_2026_00094,fg_0094,Sữa trái cây SuSu Thạch Hương Marshmallow Kiwi - 400 ml,4193.000000,5744410.00,943425.00,670880.00,8386.00,7367101.00,1757.000000,approved,Mã kiểm tra fixture_calculation_2026_00094; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00095,fixture_cost_period_2026_11,production_order_2026_00095,fg_0095,Sữa trái cây SuSu Thạch Hương Marshmallow Kiwi - Thùng tiêu chuẩn,4294.000000,6247770.00,1030560.00,772920.00,8588.00,8059838.00,1877.000000,locked,Mã kiểm tra fixture_calculation_2026_00095; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00096,fixture_cost_period_2026_12,production_order_2026_00096,fg_0096,Nước ép Cam Đào Collagen - 110 ml,4395.000000,6768300.00,791100.00,879000.00,8790.00,8447190.00,1922.000000,cancelled,Mã kiểm tra fixture_calculation_2026_00096; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00097,fixture_cost_period_2026_01,production_order_2026_00097,fg_0097,Nước ép Cam Đào Collagen - 180 ml,4496.000000,7306000.00,876720.00,629440.00,8992.00,8821152.00,1962.000000,calculated,Mã kiểm tra fixture_calculation_2026_00097; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00098,fixture_cost_period_2026_02,production_order_2026_00098,fg_0098,Nước ép Cam Đào Collagen - 220 ml,4597.000000,7860870.00,965370.00,735520.00,9194.00,9570954.00,2082.000000,approved,Mã kiểm tra fixture_calculation_2026_00098; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00099,fixture_cost_period_2026_03,production_order_2026_00099,fg_0099,Nước ép Cam Đào Collagen - 400 ml,4698.000000,5637600.00,1057050.00,845640.00,9396.00,7549686.00,1607.000000,locked,Mã kiểm tra fixture_calculation_2026_00099; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00100,fixture_cost_period_2026_04,production_order_2026_00100,fg_0100,Nước ép Cam Đào Collagen - Thùng tiêu chuẩn,4799.000000,6166715.00,1151760.00,959800.00,9598.00,8287873.00,1727.000000,cancelled,Mã kiểm tra fixture_calculation_2026_00100; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00101,fixture_cost_period_2026_05,production_order_2026_00101,fg_0101,Nước ép Cam - 110 ml,4900.000000,6713000.00,882000.00,686000.00,-14700.00,8266300.00,1687.000000,calculated,Mã kiểm tra fixture_calculation_2026_00101; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00102,fixture_cost_period_2026_06,production_order_2026_00102,fg_0102,Nước ép Cam - 180 ml,5001.000000,7276455.00,975195.00,800160.00,10002.00,9061812.00,1812.000000,approved,Mã kiểm tra fixture_calculation_2026_00102; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00103,fixture_cost_period_2026_07,production_order_2026_00103,fg_0103,Nước ép Cam - 220 ml,5102.000000,7857080.00,1071420.00,918360.00,10204.00,9857064.00,1932.000000,locked,Mã kiểm tra fixture_calculation_2026_00103; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00104,fixture_cost_period_2026_08,production_order_2026_00104,fg_0104,Nước ép Cam - 400 ml,5203.000000,8454875.00,1170675.00,1040600.00,10406.00,10676556.00,2052.000000,cancelled,Mã kiểm tra fixture_calculation_2026_00104; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00105,fixture_cost_period_2026_09,production_order_2026_00105,fg_0105,Nước ép Cam - Thùng tiêu chuẩn,5304.000000,9069840.00,1272960.00,742560.00,10608.00,11095968.00,2092.000000,calculated,Mã kiểm tra fixture_calculation_2026_00105; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00106,fixture_cost_period_2026_10,production_order_2026_00106,fg_0106,Nước ép Táo - 110 ml,5405.000000,6486000.00,972900.00,864800.00,10810.00,8334510.00,1542.000000,approved,Mã kiểm tra fixture_calculation_2026_00106; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00107,fixture_cost_period_2026_11,production_order_2026_00107,fg_0107,Nước ép Táo - 180 ml,5506.000000,7075210.00,1073670.00,991080.00,11012.00,9150972.00,1662.000000,locked,Mã kiểm tra fixture_calculation_2026_00107; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00108,fixture_cost_period_2026_12,production_order_2026_00108,fg_0108,Nước ép Táo - 220 ml,5607.000000,7681590.00,1177470.00,1121400.00,11214.00,9991674.00,1782.000000,cancelled,Mã kiểm tra fixture_calculation_2026_00108; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00109,fixture_cost_period_2026_01,production_order_2026_00109,fg_0109,Nước ép Táo - 400 ml,5708.000000,8305140.00,1284300.00,799120.00,11416.00,10399976.00,1822.000000,calculated,Mã kiểm tra fixture_calculation_2026_00109; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00110,fixture_cost_period_2026_02,production_order_2026_00110,fg_0110,Nước ép Táo - Thùng tiêu chuẩn,5809.000000,8945860.00,1394160.00,929440.00,11618.00,11281078.00,1942.000000,approved,Mã kiểm tra fixture_calculation_2026_00110; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00111,fixture_cost_period_2026_03,production_order_2026_00111,fg_0111,Nước dừa tươi - 110 ml,5910.000000,9603750.00,1063800.00,1063800.00,-17730.00,11713620.00,1982.000000,locked,Mã kiểm tra fixture_calculation_2026_00111; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00112,fixture_cost_period_2026_04,production_order_2026_00112,fg_0112,Nước dừa tươi - 180 ml,6011.000000,10278810.00,1172145.00,1202200.00,12022.00,12665177.00,2107.000000,cancelled,Mã kiểm tra fixture_calculation_2026_00112; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00113,fixture_cost_period_2026_05,production_order_2026_00113,fg_0113,Nước dừa tươi - 220 ml,6112.000000,7334400.00,1283520.00,855680.00,12224.00,9485824.00,1552.000000,calculated,Mã kiểm tra fixture_calculation_2026_00113; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00114,fixture_cost_period_2026_06,production_order_2026_00114,fg_0114,Nước dừa tươi - 400 ml,6213.000000,7983705.00,1397925.00,994080.00,12426.00,10388136.00,1672.000000,approved,Mã kiểm tra fixture_calculation_2026_00114; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00115,fixture_cost_period_2026_07,production_order_2026_00115,fg_0115,Nước dừa tươi - Thùng tiêu chuẩn,6314.000000,8650180.00,1515360.00,1136520.00,12628.00,11314688.00,1792.000000,locked,Mã kiểm tra fixture_calculation_2026_00115; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00116,fixture_cost_period_2026_08,production_order_2026_00116,fg_0116,Nước dừa tắc - 110 ml,6415.000000,9333825.00,1154700.00,1283000.00,12830.00,11784355.00,1837.000000,cancelled,Mã kiểm tra fixture_calculation_2026_00116; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00117,fixture_cost_period_2026_09,production_order_2026_00117,fg_0117,Nước dừa tắc - 180 ml,6516.000000,10034640.00,1270620.00,912240.00,13032.00,12230532.00,1877.000000,calculated,Mã kiểm tra fixture_calculation_2026_00117; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00118,fixture_cost_period_2026_10,production_order_2026_00118,fg_0118,Nước dừa tắc - 220 ml,2014.000000,3272750.00,422940.00,322240.00,4028.00,4021958.00,1997.000000,approved,Mã kiểm tra fixture_calculation_2026_00118; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00119,fixture_cost_period_2026_11,production_order_2026_00119,fg_0119,Nước dừa tắc - 400 ml,2150.000000,3676500.00,483750.00,387000.00,4300.00,4551550.00,2117.000000,locked,Mã kiểm tra fixture_calculation_2026_00119; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00120,fixture_cost_period_2026_12,production_order_2026_00120,fg_0120,Nước dừa tắc - Thùng tiêu chuẩn,2303.000000,2763600.00,552720.00,460600.00,4606.00,3781526.00,1642.000000,cancelled,Mã kiểm tra fixture_calculation_2026_00120; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00121,fixture_cost_period_2026_01,production_order_2026_00121,fg_0121,Nước tinh khiết ICY Premium - 110 ml,2439.000000,3134115.00,439020.00,341460.00,-7317.00,3907278.00,1602.000000,calculated,Mã kiểm tra fixture_calculation_2026_00121; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00122,fixture_cost_period_2026_02,production_order_2026_00122,fg_0122,Nước tinh khiết ICY Premium - 180 ml,2575.000000,3527750.00,502125.00,412000.00,5150.00,4447025.00,1727.000000,approved,Mã kiểm tra fixture_calculation_2026_00122; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00123,fixture_cost_period_2026_03,production_order_2026_00123,fg_0123,Nước tinh khiết ICY Premium - 220 ml,2711.000000,3944505.00,569310.00,487980.00,5422.00,5007217.00,1847.000000,locked,Mã kiểm tra fixture_calculation_2026_00123; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00124,fixture_cost_period_2026_04,production_order_2026_00124,fg_0124,Nước tinh khiết ICY Premium - 400 ml,2847.000000,4384380.00,640575.00,569400.00,5694.00,5600049.00,1967.000000,cancelled,Mã kiểm tra fixture_calculation_2026_00124; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00125,fixture_cost_period_2026_05,production_order_2026_00125,fg_0125,Nước tinh khiết ICY Premium - Thùng tiêu chuẩn,2983.000000,4847375.00,715920.00,417620.00,5966.00,5986881.00,2007.000000,calculated,Mã kiểm tra fixture_calculation_2026_00125; phân bổ theo sản lượng đạt và chi phí thực tế.
