proposal_code,period_code,stock_item_code,stock_item_name,unit_cost,margin_percent,proposed_price,effective_on,currency_code,target_status,notes
fixture_price_proposal_2026_00099,fixture_cost_period_2026_03,fg_0099,Nước ép Cam Đào Collagen - 400 ml,1607.000000,12.0000,1799.84,2026-03-31,VND,approved,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00100,fixture_cost_period_2026_04,fg_0100,Nước ép Cam Đào Collagen - Thùng tiêu chuẩn,1727.000000,14.0000,1968.78,2026-04-30,VND,rejected,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00101,fixture_cost_period_2026_05,fg_0101,Nước ép Cam - 110 ml,1687.000000,16.0000,1956.92,2026-05-31,VND,published,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00102,fixture_cost_period_2026_06,fg_0102,Nước ép Cam - 180 ml,1812.000000,18.0000,2138.16,2026-06-30,VND,cancelled,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00103,fixture_cost_period_2026_07,fg_0103,Nước ép Cam - 220 ml,1932.000000,20.0000,2318.40,2026-07-31,VND,draft,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00104,fixture_cost_period_2026_08,fg_0104,Nước ép Cam - 400 ml,2052.000000,22.0000,2503.44,2026-08-31,VND,pending,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00105,fixture_cost_period_2026_09,fg_0105,Nước ép Cam - Thùng tiêu chuẩn,2092.000000,8.0000,2259.36,2026-09-30,VND,approved,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00106,fixture_cost_period_2026_10,fg_0106,Nước ép Táo - 110 ml,1542.000000,10.0000,1696.20,2026-10-31,VND,rejected,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00107,fixture_cost_period_2026_11,fg_0107,Nước ép Táo - 180 ml,1662.000000,12.0000,1861.44,2026-11-30,VND,published,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00108,fixture_cost_period_2026_12,fg_0108,Nước ép Táo - 220 ml,1782.000000,14.0000,2031.48,2026-12-31,VND,cancelled,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00109,fixture_cost_period_2026_01,fg_0109,Nước ép Táo - 400 ml,1822.000000,16.0000,2113.52,2026-01-31,VND,draft,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00110,fixture_cost_period_2026_02,fg_0110,Nước ép Táo - Thùng tiêu chuẩn,1942.000000,18.0000,2291.56,2026-02-28,VND,pending,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00111,fixture_cost_period_2026_03,fg_0111,Nước dừa tươi - 110 ml,1982.000000,20.0000,2378.40,2026-03-31,VND,approved,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00112,fixture_cost_period_2026_04,fg_0112,Nước dừa tươi - 180 ml,2107.000000,22.0000,2570.54,2026-04-30,VND,rejected,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00113,fixture_cost_period_2026_05,fg_0113,Nước dừa tươi - 220 ml,1552.000000,8.0000,1676.16,2026-05-31,VND,published,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00114,fixture_cost_period_2026_06,fg_0114,Nước dừa tươi - 400 ml,1672.000000,10.0000,1839.20,2026-06-30,VND,cancelled,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00115,fixture_cost_period_2026_07,fg_0115,Nước dừa tươi - Thùng tiêu chuẩn,1792.000000,12.0000,2007.04,2026-07-31,VND,draft,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00116,fixture_cost_period_2026_08,fg_0116,Nước dừa tắc - 110 ml,1837.000000,14.0000,2094.18,2026-08-31,VND,pending,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00117,fixture_cost_period_2026_09,fg_0117,Nước dừa tắc - 180 ml,1877.000000,16.0000,2177.32,2026-09-30,VND,approved,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00118,fixture_cost_period_2026_10,fg_0118,Nước dừa tắc - 220 ml,1997.000000,18.0000,2356.46,2026-10-31,VND,rejected,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00119,fixture_cost_period_2026_11,fg_0119,Nước dừa tắc - 400 ml,2117.000000,20.0000,2540.40,2026-11-30,VND,published,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00120,fixture_cost_period_2026_12,fg_0120,Nước dừa tắc - Thùng tiêu chuẩn,1642.000000,22.0000,2003.24,2026-12-31,VND,cancelled,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00121,fixture_cost_period_2026_01,fg_0121,Nước tinh khiết ICY Premium - 110 ml,1602.000000,8.0000,1730.16,2026-01-31,VND,draft,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00122,fixture_cost_period_2026_02,fg_0122,Nước tinh khiết ICY Premium - 180 ml,1727.000000,10.0000,1899.70,2026-02-28,VND,pending,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00123,fixture_cost_period_2026_03,fg_0123,Nước tinh khiết ICY Premium - 220 ml,1847.000000,12.0000,2068.64,2026-03-31,VND,approved,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00124,fixture_cost_period_2026_04,fg_0124,Nước tinh khiết ICY Premium - 400 ml,1967.000000,14.0000,2242.38,2026-04-30,VND,rejected,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00125,fixture_cost_period_2026_05,fg_0125,Nước tinh khiết ICY Premium - Thùng tiêu chuẩn,2007.000000,16.0000,2328.12,2026-05-31,VND,published,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
