item_code,lot_code,manufactured_on,expires_on,status
rm_0276,lot_rm_0276_01,2026-10-06,2028-03-29,active
rm_0276,lot_rm_0276_02,2025-11-07,2027-05-01,active
rm_0277,lot_rm_0277_01,2025-01-13,2026-07-07,active
rm_0277,lot_rm_0277_02,2026-02-14,2027-08-08,active
rm_0278,lot_rm_0278_01,2026-04-20,2027-10-12,active
rm_0278,lot_rm_0278_02,2025-05-21,2026-11-12,active
rm_0279,lot_rm_0279_01,2025-07-03,2026-12-25,active
rm_0279,lot_rm_0279_02,2026-08-04,2028-01-26,active
rm_0280,lot_rm_0280_01,2026-10-10,2028-04-02,active
rm_0280,lot_rm_0280_02,2025-11-11,2027-05-05,active
rm_0281,lot_rm_0281_01,2025-01-17,2026-07-11,active
rm_0281,lot_rm_0281_02,2026-02-18,2027-08-12,active
rm_0282,lot_rm_0282_01,2026-04-24,2027-10-16,active
rm_0282,lot_rm_0282_02,2025-05-01,2026-10-23,active
rm_0283,lot_rm_0283_01,2025-07-07,2026-12-29,active
rm_0283,lot_rm_0283_02,2026-08-08,2028-01-30,active
rm_0284,lot_rm_0284_01,2026-10-14,2028-04-06,active
rm_0284,lot_rm_0284_02,2025-11-15,2027-05-09,active
rm_0285,lot_rm_0285_01,2025-01-21,2026-07-15,active
rm_0285,lot_rm_0285_02,2026-02-22,2027-08-16,active
rm_0286,lot_rm_0286_01,2026-04-04,2027-09-26,active
rm_0286,lot_rm_0286_02,2025-05-05,2026-10-27,active
rm_0287,lot_rm_0287_01,2025-07-11,2027-01-02,active
rm_0287,lot_rm_0287_02,2026-08-12,2028-02-03,active
rm_0288,lot_rm_0288_01,2026-10-18,2028-04-10,active
rm_0288,lot_rm_0288_02,2025-11-19,2027-05-13,active
rm_0289,lot_rm_0289_01,2025-01-01,2026-06-25,active
rm_0289,lot_rm_0289_02,2026-02-02,2027-07-27,active
rm_0290,lot_rm_0290_01,2026-04-08,2027-09-30,active
rm_0290,lot_rm_0290_02,2025-05-09,2026-10-31,active
rm_0291,lot_rm_0291_01,2025-07-15,2027-01-06,active
rm_0291,lot_rm_0291_02,2026-08-16,2028-02-07,active
rm_0292,lot_rm_0292_01,2026-10-22,2028-04-14,active
rm_0292,lot_rm_0292_02,2025-11-23,2027-05-17,active
rm_0293,lot_rm_0293_01,2025-01-05,2026-06-29,active
rm_0293,lot_rm_0293_02,2026-02-06,2027-07-31,active
rm_0294,lot_rm_0294_01,2026-04-12,2027-10-04,active
rm_0294,lot_rm_0294_02,2025-05-13,2026-11-04,active
rm_0295,lot_rm_0295_01,2025-07-19,2027-01-10,active
rm_0295,lot_rm_0295_02,2026-08-20,2028-02-11,active
rm_0296,lot_rm_0296_01,2026-10-02,2028-03-25,active
rm_0296,lot_rm_0296_02,2025-11-03,2027-04-27,active
rm_0297,lot_rm_0297_01,2025-01-09,2026-07-03,active
rm_0297,lot_rm_0297_02,2026-02-10,2027-08-04,active
rm_0298,lot_rm_0298_01,2026-04-16,2027-10-08,active
rm_0298,lot_rm_0298_02,2025-05-17,2026-11-08,active
rm_0299,lot_rm_0299_01,2025-07-23,2027-01-14,active
rm_0299,lot_rm_0299_02,2026-08-24,2028-02-15,active
rm_0300,lot_rm_0300_01,2026-10-06,2028-03-29,active
rm_0300,lot_rm_0300_02,2025-11-07,2027-05-01,active
rm_0301,lot_rm_0301_01,2025-01-13,2026-07-07,active
rm_0301,lot_rm_0301_02,2026-02-14,2027-08-08,active
rm_0302,lot_rm_0302_01,2026-04-20,2027-10-12,active
rm_0302,lot_rm_0302_02,2025-05-21,2026-11-12,active
rm_0303,lot_rm_0303_01,2025-07-03,2026-12-25,active
rm_0303,lot_rm_0303_02,2026-08-04,2028-01-26,active
rm_0304,lot_rm_0304_01,2026-10-10,2028-04-02,active
rm_0304,lot_rm_0304_02,2025-11-11,2027-05-05,active
fg_0001,lot_fg_0001_01,2025-01-09,2026-01-09,active
fg_0001,lot_fg_0001_02,2026-02-10,2027-02-10,active
fg_0002,lot_fg_0002_01,2026-04-16,2027-04-16,active
fg_0002,lot_fg_0002_02,2025-05-17,2026-05-17,active
fg_0003,lot_fg_0003_01,2025-07-23,2026-07-23,active
fg_0003,lot_fg_0003_02,2026-08-24,2027-08-24,active
fg_0004,lot_fg_0004_01,2026-10-06,2027-10-06,active
fg_0004,lot_fg_0004_02,2025-11-07,2026-11-07,active
fg_0005,lot_fg_0005_01,2025-01-13,2026-01-13,active
fg_0005,lot_fg_0005_02,2026-02-14,2027-02-14,active
fg_0006,lot_fg_0006_01,2026-04-20,2027-04-20,active
fg_0006,lot_fg_0006_02,2025-05-21,2026-05-21,active
fg_0007,lot_fg_0007_01,2025-07-03,2026-07-03,active
fg_0007,lot_fg_0007_02,2026-08-04,2027-08-04,active
fg_0008,lot_fg_0008_01,2026-10-10,2027-10-10,active
fg_0008,lot_fg_0008_02,2025-11-11,2026-11-11,active
fg_0009,lot_fg_0009_01,2025-01-17,2026-01-17,active
fg_0009,lot_fg_0009_02,2026-02-18,2027-02-18,active
fg_0010,lot_fg_0010_01,2026-04-24,2027-04-24,active
fg_0010,lot_fg_0010_02,2025-05-01,2026-05-01,active
fg_0011,lot_fg_0011_01,2025-07-07,2026-07-07,active
fg_0011,lot_fg_0011_02,2026-08-08,2027-08-08,active
fg_0012,lot_fg_0012_01,2026-10-14,2027-10-14,active
fg_0012,lot_fg_0012_02,2025-11-15,2026-11-15,active
fg_0013,lot_fg_0013_01,2025-01-21,2026-01-21,active
fg_0013,lot_fg_0013_02,2026-02-22,2027-02-22,active
fg_0014,lot_fg_0014_01,2026-04-04,2027-04-04,active
fg_0014,lot_fg_0014_02,2025-05-05,2026-05-05,active
fg_0015,lot_fg_0015_01,2025-07-11,2026-07-11,active
fg_0015,lot_fg_0015_02,2026-08-12,2027-08-12,active
fg_0016,lot_fg_0016_01,2026-10-18,2027-10-18,active
fg_0016,lot_fg_0016_02,2025-11-19,2026-11-19,active
fg_0017,lot_fg_0017_01,2025-01-01,2026-01-01,active
fg_0017,lot_fg_0017_02,2026-02-02,2027-02-02,active
fg_0018,lot_fg_0018_01,2026-04-08,2027-04-08,active
fg_0018,lot_fg_0018_02,2025-05-09,2026-05-09,active
fg_0019,lot_fg_0019_01,2025-07-15,2026-07-15,active
fg_0019,lot_fg_0019_02,2026-08-16,2027-08-16,active
fg_0020,lot_fg_0020_01,2026-10-22,2027-10-22,active
fg_0020,lot_fg_0020_02,2025-11-23,2026-11-23,active
fg_0021,lot_fg_0021_01,2025-01-05,2026-01-05,active
fg_0021,lot_fg_0021_02,2026-02-06,2027-02-06,active
fg_0022,lot_fg_0022_01,2026-04-12,2027-04-12,active
fg_0022,lot_fg_0022_02,2025-05-13,2026-05-13,active
fg_0023,lot_fg_0023_01,2025-07-19,2026-07-19,active
fg_0023,lot_fg_0023_02,2026-08-20,2027-08-20,active
fg_0024,lot_fg_0024_01,2026-10-02,2027-10-02,active
fg_0024,lot_fg_0024_02,2025-11-03,2026-11-03,active
fg_0025,lot_fg_0025_01,2025-01-09,2026-01-09,active
fg_0025,lot_fg_0025_02,2026-02-10,2027-02-10,active
fg_0026,lot_fg_0026_01,2026-04-16,2027-04-16,active
fg_0026,lot_fg_0026_02,2025-05-17,2026-05-17,active
fg_0027,lot_fg_0027_01,2025-07-23,2026-07-23,active
fg_0027,lot_fg_0027_02,2026-08-24,2027-08-24,active
fg_0028,lot_fg_0028_01,2026-10-06,2027-10-06,active
fg_0028,lot_fg_0028_02,2025-11-07,2026-11-07,active
fg_0029,lot_fg_0029_01,2025-01-13,2026-01-13,active
fg_0029,lot_fg_0029_02,2026-02-14,2027-02-14,active
fg_0030,lot_fg_0030_01,2026-04-20,2027-04-20,active
fg_0030,lot_fg_0030_02,2025-05-21,2026-05-21,active
fg_0031,lot_fg_0031_01,2025-07-03,2026-07-03,active
fg_0031,lot_fg_0031_02,2026-08-04,2027-08-04,active
fg_0032,lot_fg_0032_01,2026-10-10,2027-10-10,active
fg_0032,lot_fg_0032_02,2025-11-11,2026-11-11,active
fg_0033,lot_fg_0033_01,2025-01-17,2026-01-17,active
fg_0033,lot_fg_0033_02,2026-02-18,2027-02-18,active
fg_0034,lot_fg_0034_01,2026-04-24,2027-04-24,active
fg_0034,lot_fg_0034_02,2025-05-01,2026-05-01,active
fg_0035,lot_fg_0035_01,2025-07-07,2026-07-07,active
fg_0035,lot_fg_0035_02,2026-08-08,2027-08-08,active
fg_0036,lot_fg_0036_01,2026-10-14,2027-10-14,active
fg_0036,lot_fg_0036_02,2025-11-15,2026-11-15,active
fg_0037,lot_fg_0037_01,2025-01-21,2026-01-21,active
fg_0037,lot_fg_0037_02,2026-02-22,2027-02-22,active
fg_0038,lot_fg_0038_01,2026-04-04,2027-04-04,active
fg_0038,lot_fg_0038_02,2025-05-05,2026-05-05,active
fg_0039,lot_fg_0039_01,2025-07-11,2026-07-11,active
fg_0039,lot_fg_0039_02,2026-08-12,2027-08-12,active
fg_0040,lot_fg_0040_01,2026-10-18,2027-10-18,active
fg_0040,lot_fg_0040_02,2025-11-19,2026-11-19,active
fg_0041,lot_fg_0041_01,2025-01-01,2026-01-01,active
fg_0041,lot_fg_0041_02,2026-02-02,2027-02-02,active
fg_0042,lot_fg_0042_01,2026-04-08,2027-04-08,active
fg_0042,lot_fg_0042_02,2025-05-09,2026-05-09,active
fg_0043,lot_fg_0043_01,2025-07-15,2026-07-15,active
fg_0043,lot_fg_0043_02,2026-08-16,2027-08-16,active
fg_0044,lot_fg_0044_01,2026-10-22,2027-10-22,active
fg_0044,lot_fg_0044_02,2025-11-23,2026-11-23,active
fg_0045,lot_fg_0045_01,2025-01-05,2026-01-05,active
fg_0045,lot_fg_0045_02,2026-02-06,2027-02-06,active
fg_0046,lot_fg_0046_01,2026-04-12,2027-04-12,active
fg_0046,lot_fg_0046_02,2025-05-13,2026-05-13,active
fg_0047,lot_fg_0047_01,2025-07-19,2026-07-19,active
fg_0047,lot_fg_0047_02,2026-08-20,2027-08-20,active
fg_0048,lot_fg_0048_01,2026-10-02,2027-10-02,active
fg_0048,lot_fg_0048_02,2025-11-03,2026-11-03,active
fg_0049,lot_fg_0049_01,2025-01-09,2026-01-09,active
fg_0049,lot_fg_0049_02,2026-02-10,2027-02-10,active
fg_0050,lot_fg_0050_01,2026-04-16,2027-04-16,active
fg_0050,lot_fg_0050_02,2025-05-17,2026-05-17,active
fg_0051,lot_fg_0051_01,2025-07-23,2026-07-23,active
fg_0051,lot_fg_0051_02,2026-08-24,2027-08-24,active
fg_0052,lot_fg_0052_01,2026-10-06,2027-10-06,active
fg_0052,lot_fg_0052_02,2025-11-07,2026-11-07,active
fg_0053,lot_fg_0053_01,2025-01-13,2026-01-13,active
fg_0053,lot_fg_0053_02,2026-02-14,2027-02-14,active
fg_0054,lot_fg_0054_01,2026-04-20,2027-04-20,active
fg_0054,lot_fg_0054_02,2025-05-21,2026-05-21,active
fg_0055,lot_fg_0055_01,2025-07-03,2026-07-03,active
fg_0055,lot_fg_0055_02,2026-08-04,2027-08-04,active
fg_0056,lot_fg_0056_01,2026-10-10,2027-10-10,active
fg_0056,lot_fg_0056_02,2025-11-11,2026-11-11,active
fg_0057,lot_fg_0057_01,2025-01-17,2026-01-17,active
fg_0057,lot_fg_0057_02,2026-02-18,2027-02-18,active
fg_0058,lot_fg_0058_01,2026-04-24,2027-04-24,active
fg_0058,lot_fg_0058_02,2025-05-01,2026-05-01,active
fg_0059,lot_fg_0059_01,2025-07-07,2026-07-07,active
fg_0059,lot_fg_0059_02,2026-08-08,2027-08-08,active
fg_0060,lot_fg_0060_01,2026-10-14,2027-10-14,active
fg_0060,lot_fg_0060_02,2025-11-15,2026-11-15,active
fg_0061,lot_fg_0061_01,2025-01-21,2026-01-21,active
fg_0061,lot_fg_0061_02,2026-02-22,2027-02-22,active
fg_0062,lot_fg_0062_01,2026-04-04,2027-04-04,active
fg_0062,lot_fg_0062_02,2025-05-05,2026-05-05,active
fg_0063,lot_fg_0063_01,2025-07-11,2026-07-11,active
fg_0063,lot_fg_0063_02,2026-08-12,2027-08-12,active
fg_0064,lot_fg_0064_01,2026-10-18,2027-10-18,active
fg_0064,lot_fg_0064_02,2025-11-19,2026-11-19,active
fg_0065,lot_fg_0065_01,2025-01-01,2026-01-01,active
fg_0065,lot_fg_0065_02,2026-02-02,2027-02-02,active
fg_0066,lot_fg_0066_01,2026-04-08,2027-04-08,active
fg_0066,lot_fg_0066_02,2025-05-09,2026-05-09,active
fg_0067,lot_fg_0067_01,2025-07-15,2026-07-15,active
fg_0067,lot_fg_0067_02,2026-08-16,2027-08-16,active
fg_0068,lot_fg_0068_01,2026-10-22,2027-10-22,active
fg_0068,lot_fg_0068_02,2025-11-23,2026-11-23,active
fg_0069,lot_fg_0069_01,2025-01-05,2026-01-05,active
fg_0069,lot_fg_0069_02,2026-02-06,2027-02-06,active
fg_0070,lot_fg_0070_01,2026-04-12,2027-04-12,active
fg_0070,lot_fg_0070_02,2025-05-13,2026-05-13,active
fg_0071,lot_fg_0071_01,2025-07-19,2026-07-19,active
fg_0071,lot_fg_0071_02,2026-08-20,2027-08-20,active
fg_0072,lot_fg_0072_01,2026-10-02,2027-10-02,active
fg_0072,lot_fg_0072_02,2025-11-03,2026-11-03,active
fg_0073,lot_fg_0073_01,2025-01-09,2026-01-09,active
fg_0073,lot_fg_0073_02,2026-02-10,2027-02-10,active
fg_0074,lot_fg_0074_01,2026-04-16,2027-04-16,active
fg_0074,lot_fg_0074_02,2025-05-17,2026-05-17,active
fg_0075,lot_fg_0075_01,2025-07-23,2026-07-23,active
fg_0075,lot_fg_0075_02,2026-08-24,2027-08-24,active
fg_0076,lot_fg_0076_01,2026-10-06,2027-10-06,active
fg_0076,lot_fg_0076_02,2025-11-07,2026-11-07,active
fg_0077,lot_fg_0077_01,2025-01-13,2026-01-13,active
fg_0077,lot_fg_0077_02,2026-02-14,2027-02-14,active
fg_0078,lot_fg_0078_01,2026-04-20,2027-04-20,active
fg_0078,lot_fg_0078_02,2025-05-21,2026-05-21,active
fg_0079,lot_fg_0079_01,2025-07-03,2026-07-03,active
fg_0079,lot_fg_0079_02,2026-08-04,2027-08-04,active
fg_0080,lot_fg_0080_01,2026-10-10,2027-10-10,active
fg_0080,lot_fg_0080_02,2025-11-11,2026-11-11,active
fg_0081,lot_fg_0081_01,2025-01-17,2026-01-17,active
fg_0081,lot_fg_0081_02,2026-02-18,2027-02-18,active
fg_0082,lot_fg_0082_01,2026-04-24,2027-04-24,active
fg_0082,lot_fg_0082_02,2025-05-01,2026-05-01,active
fg_0083,lot_fg_0083_01,2025-07-07,2026-07-07,active
fg_0083,lot_fg_0083_02,2026-08-08,2027-08-08,active
fg_0084,lot_fg_0084_01,2026-10-14,2027-10-14,active
fg_0084,lot_fg_0084_02,2025-11-15,2026-11-15,active
fg_0085,lot_fg_0085_01,2025-01-21,2026-01-21,active
fg_0085,lot_fg_0085_02,2026-02-22,2027-02-22,active
fg_0086,lot_fg_0086_01,2026-04-04,2027-04-04,active
fg_0086,lot_fg_0086_02,2025-05-05,2026-05-05,active
fg_0087,lot_fg_0087_01,2025-07-11,2026-07-11,active
fg_0087,lot_fg_0087_02,2026-08-12,2027-08-12,active
fg_0088,lot_fg_0088_01,2026-10-18,2027-10-18,active
fg_0088,lot_fg_0088_02,2025-11-19,2026-11-19,active
fg_0089,lot_fg_0089_01,2025-01-01,2026-01-01,active
fg_0089,lot_fg_0089_02,2026-02-02,2027-02-02,active
fg_0090,lot_fg_0090_01,2026-04-08,2027-04-08,active
fg_0090,lot_fg_0090_02,2025-05-09,2026-05-09,active
fg_0091,lot_fg_0091_01,2025-07-15,2026-07-15,active
fg_0091,lot_fg_0091_02,2026-08-16,2027-08-16,active
fg_0092,lot_fg_0092_01,2026-10-22,2027-10-22,active
fg_0092,lot_fg_0092_02,2025-11-23,2026-11-23,active
fg_0093,lot_fg_0093_01,2025-01-05,2026-01-05,active
fg_0093,lot_fg_0093_02,2026-02-06,2027-02-06,active
fg_0094,lot_fg_0094_01,2026-04-12,2027-04-12,active
fg_0094,lot_fg_0094_02,2025-05-13,2026-05-13,active
fg_0095,lot_fg_0095_01,2025-07-19,2026-07-19,active
fg_0095,lot_fg_0095_02,2026-08-20,2027-08-20,active
fg_0096,lot_fg_0096_01,2026-10-02,2027-10-02,active
fg_0096,lot_fg_0096_02,2025-11-03,2026-11-03,active
fg_0097,lot_fg_0097_01,2025-01-09,2026-01-09,active
fg_0097,lot_fg_0097_02,2026-02-10,2027-02-10,active
fg_0098,lot_fg_0098_01,2026-04-16,2027-04-16,active
fg_0098,lot_fg_0098_02,2025-05-17,2026-05-17,active
fg_0099,lot_fg_0099_01,2025-07-23,2026-07-23,active
fg_0099,lot_fg_0099_02,2026-08-24,2027-08-24,active
fg_0100,lot_fg_0100_01,2026-10-06,2027-10-06,active
fg_0100,lot_fg_0100_02,2025-11-07,2026-11-07,active
fg_0101,lot_fg_0101_01,2025-01-13,2026-01-13,active
fg_0101,lot_fg_0101_02,2026-02-14,2027-02-14,active
fg_0102,lot_fg_0102_01,2026-04-20,2027-04-20,active
fg_0102,lot_fg_0102_02,2025-05-21,2026-05-21,active
fg_0103,lot_fg_0103_01,2025-07-03,2026-07-03,active
fg_0103,lot_fg_0103_02,2026-08-04,2027-08-04,active
fg_0104,lot_fg_0104_01,2026-10-10,2027-10-10,active
fg_0104,lot_fg_0104_02,2025-11-11,2026-11-11,active
fg_0105,lot_fg_0105_01,2025-01-17,2026-01-17,active
fg_0105,lot_fg_0105_02,2026-02-18,2027-02-18,active
fg_0106,lot_fg_0106_01,2026-04-24,2027-04-24,active
fg_0106,lot_fg_0106_02,2025-05-01,2026-05-01,active
fg_0107,lot_fg_0107_01,2025-07-07,2026-07-07,active
fg_0107,lot_fg_0107_02,2026-08-08,2027-08-08,active
fg_0108,lot_fg_0108_01,2026-10-14,2027-10-14,active
fg_0108,lot_fg_0108_02,2025-11-15,2026-11-15,active
fg_0109,lot_fg_0109_01,2025-01-21,2026-01-21,active
fg_0109,lot_fg_0109_02,2026-02-22,2027-02-22,active
fg_0110,lot_fg_0110_01,2026-04-04,2027-04-04,active
fg_0110,lot_fg_0110_02,2025-05-05,2026-05-05,active
fg_0111,lot_fg_0111_01,2025-07-11,2026-07-11,active
fg_0111,lot_fg_0111_02,2026-08-12,2027-08-12,active
fg_0112,lot_fg_0112_01,2026-10-18,2027-10-18,active
fg_0112,lot_fg_0112_02,2025-11-19,2026-11-19,active
fg_0113,lot_fg_0113_01,2025-01-01,2026-01-01,active
fg_0113,lot_fg_0113_02,2026-02-02,2027-02-02,active
fg_0114,lot_fg_0114_01,2026-04-08,2027-04-08,active
fg_0114,lot_fg_0114_02,2025-05-09,2026-05-09,active
fg_0115,lot_fg_0115_01,2025-07-15,2026-07-15,active
fg_0115,lot_fg_0115_02,2026-08-16,2027-08-16,active
fg_0116,lot_fg_0116_01,2026-10-22,2027-10-22,active
fg_0116,lot_fg_0116_02,2025-11-23,2026-11-23,active
fg_0117,lot_fg_0117_01,2025-01-05,2026-01-05,active
fg_0117,lot_fg_0117_02,2026-02-06,2027-02-06,active
fg_0118,lot_fg_0118_01,2026-04-12,2027-04-12,active
fg_0118,lot_fg_0118_02,2025-05-13,2026-05-13,active
fg_0119,lot_fg_0119_01,2025-07-19,2026-07-19,active
fg_0119,lot_fg_0119_02,2026-08-20,2027-08-20,active
fg_0120,lot_fg_0120_01,2026-10-02,2027-10-02,active
fg_0120,lot_fg_0120_02,2025-11-03,2026-11-03,active
fg_0121,lot_fg_0121_01,2025-01-09,2026-01-09,active
fg_0121,lot_fg_0121_02,2026-02-10,2027-02-10,active
fg_0122,lot_fg_0122_01,2026-04-16,2027-04-16,active
fg_0122,lot_fg_0122_02,2025-05-17,2026-05-17,active
fg_0123,lot_fg_0123_01,2025-07-23,2026-07-23,active
fg_0123,lot_fg_0123_02,2026-08-24,2027-08-24,active
fg_0124,lot_fg_0124_01,2026-10-06,2027-10-06,active
fg_0124,lot_fg_0124_02,2025-11-07,2026-11-07,active
fg_0125,lot_fg_0125_01,2025-01-13,2026-01-13,active
fg_0125,lot_fg_0125_02,2026-02-14,2027-02-14,active
fg_0126,lot_fg_0126_01,2026-04-20,2027-04-20,active
fg_0126,lot_fg_0126_02,2025-05-21,2026-05-21,active
fg_0127,lot_fg_0127_01,2025-07-03,2026-07-03,active
fg_0127,lot_fg_0127_02,2026-08-04,2027-08-04,active
fg_0128,lot_fg_0128_01,2026-10-10,2027-10-10,active
fg_0128,lot_fg_0128_02,2025-11-11,2026-11-11,active
fg_0129,lot_fg_0129_01,2025-01-17,2026-01-17,active
fg_0129,lot_fg_0129_02,2026-02-18,2027-02-18,active
fg_0130,lot_fg_0130_01,2026-04-24,2027-04-24,active
fg_0130,lot_fg_0130_02,2025-05-01,2026-05-01,active
fg_0131,lot_fg_0131_01,2025-07-07,2026-07-07,active
fg_0131,lot_fg_0131_02,2026-08-08,2027-08-08,active
fg_0132,lot_fg_0132_01,2026-10-14,2027-10-14,active
fg_0132,lot_fg_0132_02,2025-11-15,2026-11-15,active
fg_0133,lot_fg_0133_01,2025-01-21,2026-01-21,active
fg_0133,lot_fg_0133_02,2026-02-22,2027-02-22,active
fg_0134,lot_fg_0134_01,2026-04-04,2027-04-04,active
fg_0134,lot_fg_0134_02,2025-05-05,2026-05-05,active
fg_0135,lot_fg_0135_01,2025-07-11,2026-07-11,active
fg_0135,lot_fg_0135_02,2026-08-12,2027-08-12,active
fg_0136,lot_fg_0136_01,2026-10-18,2027-10-18,active
fg_0136,lot_fg_0136_02,2025-11-19,2026-11-19,active
fg_0137,lot_fg_0137_01,2025-01-01,2026-01-01,active
fg_0137,lot_fg_0137_02,2026-02-02,2027-02-02,active
fg_0138,lot_fg_0138_01,2026-04-08,2027-04-08,active
fg_0138,lot_fg_0138_02,2025-05-09,2026-05-09,active
fg_0139,lot_fg_0139_01,2025-07-15,2026-07-15,active
fg_0139,lot_fg_0139_02,2026-08-16,2027-08-16,active
fg_0140,lot_fg_0140_01,2026-10-22,2027-10-22,active
fg_0140,lot_fg_0140_02,2025-11-23,2026-11-23,active
fg_0141,lot_fg_0141_01,2025-01-05,2026-01-05,active
fg_0141,lot_fg_0141_02,2026-02-06,2027-02-06,active
fg_0142,lot_fg_0142_01,2026-04-12,2027-04-12,active
fg_0142,lot_fg_0142_02,2025-05-13,2026-05-13,active
fg_0143,lot_fg_0143_01,2025-07-19,2026-07-19,active
fg_0143,lot_fg_0143_02,2026-08-20,2027-08-20,active
fg_0144,lot_fg_0144_01,2026-10-02,2027-10-02,active
fg_0144,lot_fg_0144_02,2025-11-03,2026-11-03,active
fg_0145,lot_fg_0145_01,2025-01-09,2026-01-09,active
fg_0145,lot_fg_0145_02,2026-02-10,2027-02-10,active
fg_0146,lot_fg_0146_01,2026-04-16,2027-04-16,active
fg_0146,lot_fg_0146_02,2025-05-17,2026-05-17,active
fg_0147,lot_fg_0147_01,2025-07-23,2026-07-23,active
fg_0147,lot_fg_0147_02,2026-08-24,2027-08-24,active
fg_0148,lot_fg_0148_01,2026-10-06,2027-10-06,active
fg_0148,lot_fg_0148_02,2025-11-07,2026-11-07,active
fg_0149,lot_fg_0149_01,2025-01-13,2026-01-13,active
fg_0149,lot_fg_0149_02,2026-02-14,2027-02-14,active
fg_0150,lot_fg_0150_01,2026-04-20,2027-04-20,active
fg_0150,lot_fg_0150_02,2025-05-21,2026-05-21,active
fg_0151,lot_fg_0151_01,2025-07-03,2026-07-03,active
fg_0151,lot_fg_0151_02,2026-08-04,2027-08-04,active
fg_0152,lot_fg_0152_01,2026-10-10,2027-10-10,active
fg_0152,lot_fg_0152_02,2025-11-11,2026-11-11,active
fg_0153,lot_fg_0153_01,2025-01-17,2026-01-17,active
fg_0153,lot_fg_0153_02,2026-02-18,2027-02-18,active
fg_0154,lot_fg_0154_01,2026-04-24,2027-04-24,active
fg_0154,lot_fg_0154_02,2025-05-01,2026-05-01,active
fg_0155,lot_fg_0155_01,2025-07-07,2026-07-07,active
fg_0155,lot_fg_0155_02,2026-08-08,2027-08-08,active
fg_0156,lot_fg_0156_01,2026-10-14,2027-10-14,active
fg_0156,lot_fg_0156_02,2025-11-15,2026-11-15,active
fg_0157,lot_fg_0157_01,2025-01-21,2026-01-21,active
fg_0157,lot_fg_0157_02,2026-02-22,2027-02-22,active
fg_0158,lot_fg_0158_01,2026-04-04,2027-04-04,active
fg_0158,lot_fg_0158_02,2025-05-05,2026-05-05,active
fg_0159,lot_fg_0159_01,2025-07-11,2026-07-11,active
fg_0159,lot_fg_0159_02,2026-08-12,2027-08-12,active
fg_0160,lot_fg_0160_01,2026-10-18,2027-10-18,active
fg_0160,lot_fg_0160_02,2025-11-19,2026-11-19,active
fg_0161,lot_fg_0161_01,2025-01-01,2026-01-01,active
fg_0161,lot_fg_0161_02,2026-02-02,2027-02-02,active
fg_0162,lot_fg_0162_01,2026-04-08,2027-04-08,active
fg_0162,lot_fg_0162_02,2025-05-09,2026-05-09,active
fg_0163,lot_fg_0163_01,2025-07-15,2026-07-15,active
fg_0163,lot_fg_0163_02,2026-08-16,2027-08-16,active
fg_0164,lot_fg_0164_01,2026-10-22,2027-10-22,active
fg_0164,lot_fg_0164_02,2025-11-23,2026-11-23,active
fg_0165,lot_fg_0165_01,2025-01-05,2026-01-05,active
fg_0165,lot_fg_0165_02,2026-02-06,2027-02-06,active
fg_0166,lot_fg_0166_01,2026-04-12,2027-04-12,active
fg_0166,lot_fg_0166_02,2025-05-13,2026-05-13,active
fg_0167,lot_fg_0167_01,2025-07-19,2026-07-19,active
fg_0167,lot_fg_0167_02,2026-08-20,2027-08-20,active
fg_0168,lot_fg_0168_01,2026-10-02,2027-10-02,active
fg_0168,lot_fg_0168_02,2025-11-03,2026-11-03,active
fg_0169,lot_fg_0169_01,2025-01-09,2026-01-09,active
fg_0169,lot_fg_0169_02,2026-02-10,2027-02-10,active
fg_0170,lot_fg_0170_01,2026-04-16,2027-04-16,active
fg_0170,lot_fg_0170_02,2025-05-17,2026-05-17,active
fg_0171,lot_fg_0171_01,2025-07-23,2026-07-23,active
fg_0171,lot_fg_0171_02,2026-08-24,2027-08-24,active
fg_0172,lot_fg_0172_01,2026-10-06,2027-10-06,active
fg_0172,lot_fg_0172_02,2025-11-07,2026-11-07,active
fg_0173,lot_fg_0173_01,2025-01-13,2026-01-13,active
fg_0173,lot_fg_0173_02,2026-02-14,2027-02-14,active
fg_0174,lot_fg_0174_01,2026-04-20,2027-04-20,active
fg_0174,lot_fg_0174_02,2025-05-21,2026-05-21,active
fg_0175,lot_fg_0175_01,2025-07-03,2026-07-03,active
fg_0175,lot_fg_0175_02,2026-08-04,2027-08-04,active
fg_0176,lot_fg_0176_01,2026-10-10,2027-10-10,active
fg_0176,lot_fg_0176_02,2025-11-11,2026-11-11,active
fg_0177,lot_fg_0177_01,2025-01-17,2026-01-17,active
fg_0177,lot_fg_0177_02,2026-02-18,2027-02-18,active
fg_0178,lot_fg_0178_01,2026-04-24,2027-04-24,active
fg_0178,lot_fg_0178_02,2025-05-01,2026-05-01,active
fg_0179,lot_fg_0179_01,2025-07-07,2026-07-07,active
fg_0179,lot_fg_0179_02,2026-08-08,2027-08-08,active
fg_0180,lot_fg_0180_01,2026-10-14,2027-10-14,active
fg_0180,lot_fg_0180_02,2025-11-15,2026-11-15,active
fg_0181,lot_fg_0181_01,2025-01-21,2026-01-21,active
fg_0181,lot_fg_0181_02,2026-02-22,2027-02-22,active
fg_0182,lot_fg_0182_01,2026-04-04,2027-04-04,active
fg_0182,lot_fg_0182_02,2025-05-05,2026-05-05,active
fg_0183,lot_fg_0183_01,2025-07-11,2026-07-11,active
